LangID	CountryID	LangStatus	Name
aaa	NG	L	Ghotuo
aab	NG	L	Alumu-Tesu
aac	PG	L	Ari
aad	PG	L	Amal
aae	IT	L	Albanian, Arbëreshë
aaf	IN	L	Aranadan
aag	PG	L	Ambrak
aah	PG	L	Arapesh, Abu’
aai	PG	L	Miniafia Oyan
aak	PG	L	Ankave
aal	CM	L	Afade
aan	BR	L	Anambé
aao	DZ	L	Arabic, Algerian Saharan Spoken
aap	BR	L	Arára, Pará
aaq	US	L	Abenaki, Eastern
aar	ET	L	Afar
aas	TZ	L	Aasáx
aat	GR	L	Albanian, Arvanitika
aau	PG	L	Abau
aaw	PG	L	Solong
aax	ID	L	Mandobo Atas
aaz	ID	L	Amarasi
aba	CI	L	Abé
abb	CM	L	Bankon
abc	PH	L	Ayta, Ambala
abd	PH	L	Manide
abe	CA	L	Abenaki, Western
abf	MY	L	Abai Sungai
abg	PG	L	Abaga
abh	TJ	L	Arabic, Tajiki Spoken
abi	CI	L	Abidji
abj	IN	X	Aka-Bea
abk	GE	L	Abkhaz
abl	ID	L	Lampung Nyo
abm	NG	L	Abanyom
abn	NG	L	Abua
abo	NG	L	Abon
abp	PH	L	Ayta, Abellen
abq	RU	L	Abaza
abr	GH	L	Abron
abs	ID	L	Malay, Ambonese
abt	PG	L	Ambulas
abu	CI	L	Abure
abv	BH	L	Arabic, Baharna Spoken
abw	PG	L	Pal
abx	PH	L	Inabaknon
aby	PG	L	Aneme Wake
abz	ID	L	Abui
aca	CO	L	Achagua
acb	NG	L	Áncá
acd	GH	L	Gikyode
ace	ID	L	Aceh
acf	LC	L	Saint Lucian Creole French
ach	UG	L	Acholi
aci	IN	X	Aka-Cari
ack	IN	X	Aka-Kora
acl	IN	X	Akar-Bale
acm	IQ	L	Arabic, Mesopotamian Spoken
acn	CN	L	Achang
acp	NG	L	Acipa, Eastern
acq	YE	L	Arabic, Ta’izzi-Adeni Spoken
acr	GT	L	Achi
acs	BR	X	Acroá
act	NL	L	Achterhoeks
acu	PE	L	Achuar-Shiwiar
acv	US	L	Achumawi
acw	SA	L	Arabic, Hijazi Spoken
acx	OM	L	Arabic, Omani Spoken
acy	CY	L	Arabic, Cypriot Spoken
acz	SD	L	Acheron
ada	GH	L	Dangme
adb	TL	L	Adabe
add	CM	L	Dzodinka
ade	TG	L	Adele
adf	OM	L	Arabic, Dhofari Spoken
adg	AU	L	Andegerebinha
adh	UG	L	Adhola
adi	IN	L	Adi
adj	CI	L	Adioukrou
adl	IN	L	Adi, Galo
adn	ID	L	Adang
ado	PG	L	Abu
adq	GH	L	Adangbe
adr	ID	L	Adonara
ads	GH	L	Adamorobe Sign Language
adt	AU	L	Adnyamathanha
adu	NG	L	Aduge
adw	BR	L	Amundava
adx	CN	L	Tibetan, Amdo
ady	RU	L	Adyghe
adz	PG	L	Adzera
aea	AU	X	Areba
aeb	TN	L	Arabic, Tunisian Spoken
aec	EG	L	Arabic, Sa’idi Spoken
aed	AR	L	Argentine Sign Language
aee	AF	L	Pashai, Northeast
aek	NC	L	Haeke
ael	CM	L	Ambele
aem	VN	L	Arem
aen	AM	L	Armenian Sign Language
aeq	PK	L	Aer
aer	AU	L	Arrernte, Eastern
aeu	CN	L	Akeu
aew	PG	L	Ambakich
aey	PG	L	Amele
aez	PG	L	Aeka
afb	KW	L	Arabic, Gulf Spoken
afd	PG	L	Andai
afe	NG	L	Utugwang-Irungene-Afrike
afg	AF	L	Afghan Sign Language
afi	PG	L	Chini
afk	PG	L	Nanubae
afn	NG	L	Defaka
afo	NG	L	Eloyi
afp	PG	L	Tapei
afr	ZA	L	Afrikaans
afs	MX	L	Afro-Seminole Creole
aft	SD	L	Afitti
afu	GH	L	Awutu
afz	ID	L	Obokuitai
aga	PE	L	Aguano
agb	NG	L	Legbo
agc	NG	L	Agatu
agd	PG	L	Agarabi
age	PG	L	Angal
agf	ID	L	Arguni
agg	PG	L	Angor
agh	CD	L	Ngelima
agi	IN	L	Agariya
agj	ET	L	Argobba
agk	PH	L	Agta, Isarog
agl	PG	L	Fembe
agm	PG	L	Angaataha
agn	PH	L	Agutaynen
ago	PG	L	Tainae
agq	CM	L	Aghem
agr	PE	L	Aguaruna
ags	CM	L	Esimbi
agt	PH	L	Agta, Central Cagayan
agu	GT	L	Awakateko
agv	PH	L	Dumagat, Remontado
agw	SB	L	Kahua
agx	RU	L	Aghul
agy	PH	L	Alta, Southern
agz	PH	L	Agta, Mt. Iriga
aha	GH	L	Ahanta
ahb	VU	L	Axamb
ahg	ET	L	Qimant
ahh	ID	L	Aghu
ahi	CI	L	Aizi, Tiagbamrin
ahk	MM	L	Akha
ahl	TG	L	Igo
ahm	CI	L	Aizi, Mobumrin
ahn	NG	L	Àhàn
aho	IN	L	Ahom
ahp	CI	L	Aizi, Aproumu
ahr	IN	L	Ahirani
ahs	NG	L	Ashe
aht	US	L	Ahtena
aia	SB	L	Arosi
aib	CN	L	Ainu
aic	PG	L	Ainbai
aid	AU	X	Alngith
aie	PG	L	Amara
aif	PG	L	Agi
aig	AG	L	Antigua and Barbuda Creole English
aih	CN	L	Ai-Cham
aii	IQ	L	Assyrian Neo-Aramaic
aij	IL	L	Lishanid Noshan
aik	NG	L	Ake
ail	PG	L	Aimele
aim	IN	L	Aimol
ain	JP	L	Ainu
aio	IN	L	Aiton
aip	ID	L	Burumakok
aiq	AF	L	Aimaq
air	ID	L	Airoran
ais	TW	L	Amis, Nataoran
ait	BR	X	Arikem
aiw	ET	L	Aari
aix	PG	L	Aighon
aiy	CF	L	Ali
aja	SS	L	Aja
ajg	BJ	L	Aja
aji	NC	L	Ajië
ajn	AU	L	Andajin
ajp	JO	L	Arabic, South Levantine Spoken
ajt	IL	L	Arabic, Judeo-Tunisian
aju	IL	L	Arabic, Judeo-Moroccan
ajw	NG	X	Ajawa
ajz	IN	L	Amri Karbi
aka	GH	L	Akan
akb	ID	L	Batak Angkola
akc	ID	L	Mpur
akd	NG	L	Ukpet-Ehom
ake	GY	L	Akawaio
akf	NG	L	Akpa
akg	ID	L	Anakalangu
akh	PG	L	Angal Heneng
aki	PG	L	Aiome
akj	IN	X	Aka-Jeru
akl	PH	L	Inakeanon
akm	IN	X	Aka-Bo
ako	SR	L	Akurio
akp	GH	L	Siwu
akq	PG	L	Ak
akr	VU	L	Araki
aks	TG	L	Akaselem
akt	PG	L	Akolet
aku	CM	L	Akum
akv	RU	L	Akhvakh
akw	CG	L	Akwa
akx	IN	X	Aka-Kede
aky	IN	X	Aka-Kol
akz	US	L	Alabama
ala	NG	L	Alago
alc	CL	L	Qawasqar
ald	CI	L	Alladian
ale	US	L	Aleut
alf	NG	L	Alege
alh	AU	L	Alawa
ali	PG	L	Amaimon
alj	PH	L	Alangan
alk	LA	L	Alak
all	IN	L	Allar
alm	VU	L	Amblong
aln	RS	L	Albanian, Gheg
alo	ID	L	Larike-Wakasihu
alp	ID	L	Alune
alq	CA	L	Algonquin
alr	RU	L	Alutor
als	AL	L	Albanian, Tosk
alt	RU	L	Altai, Southern
alu	SB	L	’Are’are
alw	ET	L	Alaba-K’abeena
alx	PG	L	Amol
